carid, pointid, lon,lat,elevation,speed,sat,heading,dummydatetime
51,968,6.08828452,52.50103191,42.499,71.748,33,84.53213181302152,2022-02-05T14:00:00Z
51,969,6.08858293,52.5010145,42.444,72.432,33,84.60375499240149,2022-02-05T14:00:00Z
51,970,6.08888699,52.50099866,42.54,73.764,33,85.17945724102941,2022-02-05T14:00:00Z
51,971,6.0891974,52.5009799,42.277,75.672,33,84.41110635776374,2022-02-05T14:00:00Z
51,972,6.08951102,52.50096533,42.164,77.004,33,85.69980216190669,2022-02-05T14:00:00Z
51,973,6.08982808,52.50094963,42.254,76.932,33,85.41726610579877,2022-02-05T14:00:00Z
51,974,6.09014099,52.50093462,42.201,76.608,33,85.56002345564377,2022-02-05T14:00:00Z
51,975,6.09045381,52.50092207,42.304,76.464,33,86.28546978390295,2022-02-05T14:00:00Z
51,976,6.09077269,52.5009096,42.609,76.716,33,86.37929191947194,2022-02-05T14:00:00Z
51,977,6.09109745,52.50089768,42.441,77.652,33,86.60163023360474,2022-02-05T14:00:00Z
51,978,6.09142393,52.50088604,42.688,79.74,33,86.69891996387867,2022-02-05T14:00:00Z
51,979,6.09175118,52.50087732,42.71,80.13600000000001,33,87.5334765199168,2022-02-05T14:00:00Z
51,980,6.09207564,52.50086825,42.657,79.416,33,87.41212309491777,2022-02-05T14:00:00Z
51,981,6.09239433,52.50085875,42.397,78.624,33,87.23996951247159,2022-02-05T14:00:00Z
51,982,6.09271078,52.50085104,42.668,77.616,33,87.7448153333197,2022-02-05T14:00:00Z
51,983,6.09302695,52.50084198,42.779,76.35600000000001,33,87.34682974763064,2022-02-05T14:00:00Z
51,984,6.09332679,52.50083487,42.77,73.8,33,87.80481918695506,2022-02-05T14:00:00Z
51,985,6.09361033,52.50082778,42.349,72.036,33,87.6845244699756,2022-02-05T14:00:00Z
51,986,6.09390451,52.50081955,42.497,71.85600000000001,33,87.40924476089708,2022-02-05T14:00:00Z
51,987,6.09420036,52.50080894,42.49,72.86399999999999,33,86.67848117527035,2022-02-05T14:00:00Z
51,988,6.09450421,52.50080061,42.664,73.548,33,87.46143848367143,2022-02-05T14:00:00Z
51,989,6.09480744,52.50079157,42.612,74.01599999999999,33,87.23912201165251,2022-02-05T14:00:00Z
51,990,6.09511776,52.50078399,42.63,74.592,33,87.7386989554351,2022-02-05T14:00:00Z
51,991,6.0954326,52.50077643,42.642,75.16799999999999,33,87.77720411636722,2022-02-05T14:00:00Z
51,992,6.09574282,52.5007652,42.889,75.63600000000001,33,86.64738397165428,2022-02-05T14:00:00Z
51,993,6.09605293,52.5007535,42.713,75.564,33,86.50582748469515,2022-02-05T14:00:00Z
51,994,6.09635284,52.50074511,42.46,72.57600000000001,33,87.40922178409221,2022-02-05T14:00:00Z
51,995,6.09662453,52.50073409,42.356,66.852,33,86.24275336838349,2022-02-05T14:00:00Z
51,996,6.09688025,52.50072661,41.804,63.828,33,87.28988323334102,2022-02-05T14:00:00Z
51,997,6.09713163,52.50072135,41.565,62.1,33,88.06213742465764,2022-02-05T14:00:00Z
51,998,6.09738031,52.50071339,41.563,60.048,33,87.03401423417466,2022-02-05T14:00:00Z
51,999,6.09761714,52.5007038,41.755,57.24,33,86.24808727811399,2022-02-05T14:00:00Z
51,1000,6.09783689,52.50069455,41.56,54.504000000000005,33,86.099636334134,2022-02-05T14:00:00Z
51,1001,6.09804298,52.50068193,41.38,51.516000000000005,33,84.33307143278682,2022-02-05T14:00:00Z
51,1002,6.09823473,52.50066798,41.561,47.988,33,83.27508513440631,2022-02-05T14:00:00Z
51,1003,6.09839965,52.50065698,41.369,44.172,33,83.82965437911491,2022-02-05T14:00:00Z
51,1004,6.09856181,52.50064208,41.587,40.536,33,81.52743085182294,2022-02-05T14:00:00Z
